SWMM5 LID Report File

Project:  
LID Unit: SWALE in Subcatchment SWALE

                    	  Elapsed	    Total	    Total	  Surface	 Pavement	     Soil	  Storage	  Surface	    Drain	  Surface	 Pavement	     Soil	  Storage
                    	     Time	   Inflow	     Evap	    Infil	     Perc	     Perc	    Exfil	   Runoff	  OutFlow	    Level	    Level	 Moisture	    Level
Date        Time    	    Hours	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	   inches	   inches	  Content	   inches
----------- --------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------
 04/07/2016 09:45:00	    9.750	    3.707	   0.0038	    3.705	    0.000	    0.000	    3.335	   0.296	    0.000	    0.046	    0.000	    0.000	    0.000
 04/07/2016 09:50:00	    9.833	    3.707	   0.0038	    3.569	    0.000	    0.000	    3.213	   0.419	    0.000	    0.053	    0.000	    0.000	    0.000
 04/07/2016 09:55:00	    9.917	    3.707	   0.0038	    3.456	    0.000	    0.000	    3.112	   0.524	    0.000	    0.059	    0.000	    0.000	    0.000
 04/07/2016 10:00:00	   10.000	    3.707	   0.0038	    3.361	    0.000	    0.000	    3.027	   0.634	    0.000	    0.064	    0.000	    0.000	    0.000
 04/07/2016 10:05:00	   10.083	    1.297	   0.0038	    2.065	    0.000	    0.000	    1.858	   0.015	    0.000	    0.039	    0.000	    0.000	    0.000
 04/07/2016 10:10:00	   10.167	    1.203	   0.0038	    1.673	    0.000	    0.000	    1.506	   0.320	    0.000	    0.000	    0.000	    0.000	    0.000
 04/07/2016 10:15:00	   10.250	    1.190	   0.0000	    1.190	    0.000	    0.000	    1.071	   0.000	    0.000	    0.000	    0.000	    0.000	    0.000
 04/07/2016 10:20:00	   10.333	    1.187	   0.0000	    1.187	    0.000	    0.000	    1.069	   0.000	    0.000	    0.011	    0.000	    0.000	    0.000
 04/07/2016 10:25:00	   10.417	    1.187	   0.0038	    1.319	    0.000	    0.000	    1.187	   0.039	    0.000	    0.015	    0.000	    0.000	    0.000
 04/07/2016 10:30:00	   10.500	    1.187	   0.0038	    1.361	    0.000	    0.000	    1.225	   0.061	    0.000	    0.008	    0.000	    0.000	    0.000
 04/07/2016 10:35:00	   10.583	    0.753	   0.0038	    0.846	    0.000	    0.000	    0.761	   0.022	    0.000	    0.001	    0.000	    0.000	    0.000
 04/07/2016 10:40:00	   10.667	    0.723	   0.0038	    0.740	    0.000	    0.000	    0.666	   0.001	    0.000	    0.002	    0.000	    0.000	    0.000
 04/07/2016 10:45:00	   10.750	    0.716	   0.0038	    0.743	    0.000	    0.000	    0.669	   0.003	    0.000	    0.007	    0.000	    0.000	    0.000
 04/07/2016 10:50:00	   10.833	    0.715	   0.0038	    0.793	    0.000	    0.000	    0.714	   0.016	    0.000	    0.008	    0.000	    0.000	    0.000
 04/07/2016 10:55:00	   10.917	    0.714	   0.0038	    0.805	    0.000	    0.000	    0.725	   0.021	    0.000	    0.005	    0.000	    0.000	    0.000
 04/07/2016 11:00:00	   11.000	    0.714	   0.0038	    0.775	    0.000	    0.000	    0.698	   0.011	    0.000	    0.004	    0.000	    0.000	    0.000
 04/07/2016 11:05:00	   11.083	    0.557	   0.0038	    0.600	    0.000	    0.000	    0.540	   0.006	    0.000	    0.004	    0.000	    0.000	    0.000
 04/07/2016 11:10:00	   11.167	    0.544	   0.0038	    0.592	    0.000	    0.000	    0.533	   0.007	    0.000	    0.004	    0.000	    0.000	    0.000
